INSERT INTO LGLINE VALUES (997, 3, '5587-PIP', 5, 10.99);
INSERT INTO LGLINE VALUES (997, 5, '9276-MVX', 3, 13.39);
INSERT INTO LGLINE VALUES (998, 1, '6249-LYB', 1, 11.99);
INSERT INTO LGLINE VALUES (998, 3, '1838-LZI', 2, 12.59);
INSERT INTO LGLINE VALUES (999, 1, '1838-LZI', 5, 12.59);
INSERT INTO LGLINE VALUES (999, 3, '9857-ESX', 5, 25.59);
INSERT INTO LGLINE VALUES (1000, 1, '2262-NBI', 2, 17.99);
INSERT INTO LGLINE VALUES (1000, 3, '5213-YTB', 2, 34.49);
INSERT INTO LGLINE VALUES (706, 4, '2129-BCP', 2, 7.99);
INSERT INTO LGLINE VALUES (1013, 1, '2143-VQX', 4, 17.99);
INSERT INTO LGLINE VALUES (1013, 3, '8207-YYG', 4, 34.49);
INSERT INTO LGLINE VALUES (1013, 5, '5379-BLX', 4, 21.59);
INSERT INTO LGLINE VALUES (1015, 1, '8436-MGP', 4, 7.79);
INSERT INTO LGLINE VALUES (1015, 3, '4491-GNC', 3, 21.99);
INSERT INTO LGLINE VALUES (1016, 1, '6933-YOI', 4, 8.99);
INSERT INTO LGLINE VALUES (1016, 4, '5060-EDB', 1, 29.99);
INSERT INTO LGLINE VALUES (1017, 1, '5140-RTG', 2, 19.99);
INSERT INTO LGLINE VALUES (1017, 3, '2870-QZR', 1, 32.99);
INSERT INTO LGLINE VALUES (1017, 6, '3035-NHD', 2, 15.69);
INSERT INTO LGLINE VALUES (1019, 1, '5445-XOY', 3, 10.99);
INSERT INTO LGLINE VALUES (1019, 3, '8436-MGP', 4, 7.79);
INSERT INTO LGLINE VALUES (1019, 6, '2990-BNH', 4, 16.99);
INSERT INTO LGLINE VALUES (1020, 2, '7532-PYJ', 5, 21.99);
INSERT INTO LGLINE VALUES (1022, 1, '3754-MAK', 5, 21.99);
INSERT INTO LGLINE VALUES (1023, 1, '5659-BFS', 5, 17.29);
INSERT INTO LGLINE VALUES (1023, 4, '2384-PGY', 1, 29.99);
INSERT INTO LGLINE VALUES (1024, 2, '7673-ECV', 1, 11.99);
INSERT INTO LGLINE VALUES (1024, 4, '1433-MMY', 3, 23.99);
INSERT INTO LGLINE VALUES (1025, 1, '9601-ZKZ', 5, 8.99);
INSERT INTO LGLINE VALUES (1025, 4, '9671-NYZ', 5, 14.59);
INSERT INTO LGLINE VALUES (1026, 1, '7658-HCW', 4, 19.99);
INSERT INTO LGLINE VALUES (1026, 3, '5508-OUB', 1, 35.99);
INSERT INTO LGLINE VALUES (1027, 2, '7260-YDI', 2, 15.59);
INSERT INTO LGLINE VALUES (1029, 1, '6596-HOO', 3, 9.99);
